"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"188995","occ","6872","","18759","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","6294"
"188996","occ","6873","","18759","Perognathus saskatchewanensis","species","50224","Barstovian","","15.97","13.6","6294"
"188997","occ","6874","","18759","Perognathoides kleinfelderi","species","50182","Barstovian","","15.97","13.6","6294"
"188998","occ","6875","","18759","Peridiomys borealis","species","50160","Barstovian","","15.97","13.6","6294"
"188999","occ","6876","","18759","Mioheteromys arcarius","species","45849","Barstovian","","15.97","13.6","6294"
"189000","occ","","","18759","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3295"
"189195","occ","","","18803","Mookomys thrinax","species","48813","Early Barstovian","","15.97","13.6","3342"
"189196","occ","6974","","18803","Mookomys formicarum","species","48810","Early Barstovian","","15.97","13.6","6294"
"189198","occ","","","18803","Peridiomys halis","species","50161","Early Barstovian","","15.97","13.6","3342"
"189199","occ","","","18803","Perognathus ancenensis","species","50186","Early Barstovian","","15.97","13.6","3342"
"189200","occ","","","18803","Perognathus","genus","41688","Early Barstovian","","15.97","13.6","3342"
"189201","occ","","","18803","Cupidinimus halli","species","50181","Early Barstovian","","15.97","13.6","3342"
"189202","occ","","","18803","Perognathoides eurekensis","species","50180","Early Barstovian","","15.97","13.6","3342"
"189255","occ","","","18807","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3118"
"189256","occ","","","18807","Cupidinimus magnus","species","45850","Hemphillian","","10.3","4.9","3118"
"189269","occ","6999","","18809","Heteromyidae","family","41673","Barstovian","","15.97","13.6","6294"
"189319","occ","","","18820","Cupidinimus","genus","41676","Clarendonian","","13.6","10.3","3119"
"189439","occ","","","18845","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","1489"
"189440","occ","7071","","18845","Perognathoides quartus","species","45854","Clarendonian","","13.6","10.3","6294"
"189441","occ","7072","","18845","Cupidinimus cuyamensis","species","50179","Clarendonian","","13.6","10.3","6294"
"189484","occ","","","18848","Cupidinimus","genus","41676","early Late Barstovian","","15.97","13.6","1152"
"189486","occ","","","18848","Lignimus","genus","41682","early Late Barstovian","","15.97","13.6","1152"
"189559","occ","","","18868","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","1019"
"189560","occ","7107","","18868","Cupidinimus whitlocki","species","45402","Barstovian","","15.97","13.6","1018"
"189562","occ","7109","","18868","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"189625","occ","","","18888","Diprionomys parvus","species","45853","Clarendonian","","13.6","10.3","1236"
"189626","occ","7138","","18888","Perognathoides quartus","species","45854","Clarendonian","","13.6","10.3","6294"
"189627","occ","7139","","18888","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","6294"
"189728","occ","","","18908","Heteromyidae","family","41673","Hemingfordian","","20.43","15.97","2634"
"189746","occ","","","18915","Cupidinimus","genus","41676","Early Hemingfordian","Early Barstovian","20.43","13.6","2496"
"189832","occ","","","18936","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3118"
"189850","occ","","","18939","Perognathus stevei","species","50226","Hemphillian","","10.3","4.9","2411"
"189851","occ","","","18939","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","2411"
"189860","occ","","","18940","Perognathus stevei","species","50226","Hemphillian","","10.3","4.9","2411"
"189861","occ","","","18940","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","2411"
"189870","occ","","","18941","Harrymys","genus","41681","Miocene","","23.03","5.333","2634"
"189893","occ","","","18944","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3118"
"189894","occ","","","18944","Cupidinimus magnus","species","45850","Hemphillian","","10.3","4.9","3118"
"190018","occ","7280","","18970","Oregonomys sargenti","species","50223","Hemphillian","","10.3","4.9","6294"
"190065","occ","","","18978","Dikkomys","genus","41677","Miocene","","23.03","5.333","2634"
"190112","occ","","","18990","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","1019"
"190113","occ","7313","","18990","Cupidinimus whitlocki","species","45402","Barstovian","","15.97","13.6","1018"
