Species	Status	min_age	max_age
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_furlongi	extinct	5.333	23.03
Cupidinimus_lindsayi	extinct	5.333	23.03
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathoides_eurekensis	extinct	13.6	15.97
Perognathus_minutus	extinct	10.3	13.6
Cupidinimus	extinct	10.3	13.6
Perognathus_minutus	extinct	10.3	13.6
Cupidinimus	extinct	10.3	13.6
Perognathus_minutus	extinct	10.3	13.6
Cupidinimus	extinct	10.3	13.6
Mookomys_formicarum	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathoides_eurekensis	extinct	13.6	15.97
Trogomys	extinct	15.97	20.43
Perognathus_furlongi	extinct	10.3	13.6
Cupidinimus_lindsayi	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Proheteromys_sulculus	extinct	13.6	15.97
Trogomys	extinct	13.6	15.97
Perognathus_minutus	extinct	10.3	13.6
Cupidinimus_tertius	extinct	10.3	13.6
Cupidinimus_tertius	extinct	10.3	13.6
Perognathus_minutus	extinct	10.3	13.6
Cupidinimus_avawatzensis	extinct	10.3	13.6
Proheteromys_maximus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathoides_eurekensis	extinct	13.6	15.97
Mookomys_subtilis	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_mclaughlini	extinct	4.9	10.3
Perognathus_henryredfieldi	extinct	4.9	10.3
Prodipodomys_kansensis	extinct	4.9	10.3
Cupidinimus_tertius	extinct	10.3	13.6
Perognathus_furlongi	extinct	10.3	13.6
Perognathus_minutus	extinct	10.3	13.6
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Proheteromys_sulculus	extinct	5.333	23.03
Heteromyinae	extinct	4.9	10.3
Perognathus_furlongi	extinct	10.3	13.6
Perognathoides_kleinfelderi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_minutus	extinct	5.333	23.03
Perognathus_furlongi	extinct	5.333	23.03
Cupidinimus_halli	extinct	5.333	23.03
Cupidinimus	extinct	4.9	10.3
Diprionomys	extinct	4.9	10.3
Proheteromys_maximus	extinct	5.333	23.03
Cupidinimus	extinct	5.333	23.03
Cupidinimus_halli	extinct	5.333	23.03
Perognathus_furlongi	extinct	5.333	23.03
Mookomys_formicarum	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Proheteromys_sulculus	extinct	5.333	23.03
Proheteromys_sulculus	extinct	15.97	20.43
Harrymys_magnus	extinct	15.97	20.43
Perognathus	extinct	4.9	10.3
Mookomys_formicarum	extinct	13.6	15.97
Cupidinimus_bidahochiensis	extinct	4.9	10.3
Perognathus	extinct	1.8	4.9
Perognathus_strigipredus	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Dipodomys_minor	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Dipodomys_minor	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Dipodomys_minor	extinct	1.8	4.9
Dipodomys_minor	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Perognathus_gidleyi	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	0.3	4.9
Perognathus_gidleyi	extinct	1.8	4.9
Perognathus_gidleyi	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Dipodomys_gidleyi	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Heteromyidae	extinct	2.588	3.6
Perognathus	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Cupidinimus_bidahochiensis	extinct	1.8	4.9
Cupidinimus_bidahochiensis	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Prodipodomys_timoteoensis	extinct	1.8	4.9
Prodipodomys_timoteoensis	extinct	1.8	4.9
Prodipodomys_timoteoensis	extinct	1.8	4.9
Prodipodomys_riversidensis	extinct	1.8	4.9
Prodipodomys_timoteoensis	extinct	1.8	4.9
Prodipodomys_riversidensis	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Prodipodomys_timoteoensis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Prodipodomys_timoteoensis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Prodipodomys_centralis	extinct	1.8	4.9
Oregonomys_magnus	extinct	1.8	4.9
Perognathus_maldei	extinct	1.8	4.9
Perognathus_maldei	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Perognathus_maldei	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Perognathus_maldei	extinct	1.8	4.9
Prodipodomys_idahoensis	extinct	1.8	4.9
Perognathus_mclaughlini	extinct	1.8	4.9
Prodipodomys_griggsorum	extinct	1.8	4.9
Perognathus_coquorum	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Perognathus_gidleyi	extinct	1.8	4.9
Prodipodomys_tiheni	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Perognathus_rexroadensis	extinct	1.8	4.9
Perognathus_gidleyi	extinct	1.8	4.9
Prodipodomys_centralis	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Prodipodomys_centralis	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Dipodomys_gidleyi	extinct	1.8	4.9
Oregonomys_sargenti	extinct	1.8	4.9
Perognathus_rexroadensis	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Prodipodomys_centralis	extinct	1.8	4.9
Perognathus_rexroadensis	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Prodipodomys_centralis	extinct	1.8	4.9
Perognathus_rexroadensis	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Perognathus_carpenteri	extinct	1.8	4.9
Perognathus_rexroadensis	extinct	1.8	4.9
Perognathus_pearlettensis	extinct	1.8	4.9
Prodipodomys_centralis	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Prodipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Dipodomys_minor	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Dipodomys_hibbardi	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys	extinct	1.8	4.9
Dipodomys_compactus	extinct	1.8	4.9
Dipodomys	extinct	0.3	1.8
Dipodomys_compactus	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys_compactus	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
